Fiscal year,Diagnosis category,Sex,fiscal_year,value,ci_low,ci_high,sheet_type
2020–2021,   Trauma- and stressor-related disorders,Total,Agegroup:5–24years–Rate,72.4,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Female,Agegroup:5–24years–Rate,10.1,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Male,Agegroup:5–24years–Rate,12.8,,,Hospitalization
2020–2021,"   Disruptive, impulse control and conduct disorders",Total,Agegroup:5–24years–Rate,11.5,,,Hospitalization
2020–2021,   Eating and feeding disorders,Female,Agegroup:5–24years–Rate,38.5,,,Hospitalization
2020–2021,   Eating and feeding disorders,Male,Agegroup:5–24years–Rate,3.3,,,Hospitalization
2020–2021,   Eating and feeding disorders,Total,Agegroup:5–24years–Rate,20.4,,,Hospitalization
2020–2021,   Tic disorders,Female,Agegroup:5–24years–Rate,1.1,,,Hospitalization
2020–2021,   Tic disorders,Male,Agegroup:5–24years–Rate,1.0,,,Hospitalization
2020–2021,   Tic disorders,Total,Agegroup:5–24years–Rate,1.0,,,Hospitalization
2020–2021,   ADHD,Female,Agegroup:5–24years–Rate,9.5,,,Hospitalization
2020–2021,   ADHD,Male,Agegroup:5–24years–Rate,13.0,,,Hospitalization
2020–2021,   ADHD,Total,Agegroup:5–24years–Rate,11.3,,,Hospitalization
2021–2022,Neurocognitive disorders,Female,Agegroup:5–24years–Rate,1.0,,,Hospitalization
2021–2022,Neurocognitive disorders,Male,Agegroup:5–24years–Rate,1.5,,,Hospitalization
2021–2022,Neurocognitive disorders,Total,Agegroup:5–24years–Rate,1.3,,,Hospitalization
2021–2022,Substance-related disorders,Female,Agegroup:5–24years–Rate,53.2,,,Hospitalization
2021–2022,Substance-related disorders,Male,Agegroup:5–24years–Rate,71.6,,,Hospitalization
2021–2022,Substance-related disorders,Total,Agegroup:5–24years–Rate,62.7,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Female,Agegroup:5–24years–Rate,45.6,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Male,Agegroup:5–24years–Rate,94.1,,,Hospitalization
2021–2022,Schizophrenic and psychotic disorders,Total,Agegroup:5–24years–Rate,70.6,,,Hospitalization
2021–2022,Mood disorders,Female,Agegroup:5–24years–Rate,205.3,,,Hospitalization
2021–2022,Mood disorders,Male,Agegroup:5–24years–Rate,86.1,,,Hospitalization
2021–2022,Mood disorders,Total,Agegroup:5–24years–Rate,143.9,,,Hospitalization
2021–2022,Anxiety disorders,Female,Agegroup:5–24years–Rate,64.0,,,Hospitalization
2021–2022,Anxiety disorders,Male,Agegroup:5–24years–Rate,19.9,,,Hospitalization
