ref_date_raw,start_year,geo,sex,indicator,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,statistic,uom,scalar_factor
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,27.6,percent,,False,v1427747034,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,38.9,percent,,False,v1427747035,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,147000.0,number,,True,v1427747036,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,122000.0,number,,True,v1427747037,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Good perceived health,172000.0,number,,True,v1427747038,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,13.9,percent,,False,v1427747039,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,10.2,percent,,False,v1427747040,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,18.8,percent,,False,v1427747041,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,,number,f,True,v1427747042,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,,number,f,True,v1427747043,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,"Total, all persons",Fair or poor perceived health,,number,f,True,v1427747044,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,46.8,percent,,False,v1427747045,2021-04,2016A000210,Percentage of persons,Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,37.2,percent,,False,v1427747046,2021-04,2016A000210,"Lower bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,56.5,percent,,False,v1427747047,2021-04,2016A000210,"Upper bound of the 95% confidence interval, percentage of persons",Percent,units
2021-04,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,102000.0,number,e,True,v1427747048,2021-04,2016A000210,Number of persons,Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,81000.0,number,e,True,v1427747049,2021-04,2016A000210,"Lower bound of the 95% confidence interval, number of persons",Number,thousands
2021-04,2021,Newfoundland and Labrador,Men,Excellent or very good perceived health,124000.0,number,e,True,v1427747050,2021-04,2016A000210,"Upper bound of the 95% confidence interval, number of persons",Number,thousands
