ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",21.1,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",22.1,,,percent,
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over",Mood disorder,17.3,,,percent,
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over",Mood disorder,13.8,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over",Mood disorder,16.6,,,percent,
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over",Anxiety disorder,14.3,,,percent,
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over",Anxiety disorder,16.2,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over",Anxiety disorder,,,,percent,..
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Cannabis use, past 12 months",20.3,,,percent,
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Cannabis use, past 12 months",23.5,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Cannabis use, past 12 months",17.6,,,percent,
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over",Heavy drinking,13.0,,,percent,
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over",Heavy drinking,18.5,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over",Heavy drinking,19.4,,,percent,
2019/2020,2019,Prince Edward Island,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",71.7,,,percent,
2021/2022,2021,Prince Edward Island,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",69.7,,,percent,
2023/2024,2023,Prince Edward Island,Females,"Total, 18 years and over","Sense of belonging to local community, somewhat strong or very strong",65.9,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",64.5,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",54.5,,,percent,
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived mental health, very good or excellent",47.8,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",12.9,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",14.7,,,percent,
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived mental health, fair or poor",19.7,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",19.0,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",20.6,,,percent,
2023/2024,2023,Nova Scotia,Both sexes,"Total, 18 years and over","Perceived life stress, most days quite a bit or extremely stressful",23.2,,,percent,
2019/2020,2019,Nova Scotia,Both sexes,"Total, 18 years and over",Mood disorder,15.2,,,percent,
2021/2022,2021,Nova Scotia,Both sexes,"Total, 18 years and over",Mood disorder,13.5,,,percent,
