ref_date_raw,start_year,geo,sex,age_group,indicator,value,ci_low,ci_high,metric_type,quality_flag,vector,ref_date,dguid,uom,scalar_factor
2015,2015,Alberta,Females,35 to 49 years,Consultation with a health professional about emotional or mental health,,,103500.0,,,v111451737,2015,2016A000248,Number,units
2015,2015,Alberta,Females,35 to 49 years,Consultation with a health professional about emotional or mental health,20.2,,,percent,,v111451738,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,Consultation with a health professional about emotional or mental health,16.0,,,percent,,v111451739,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,Consultation with a health professional about emotional or mental health,24.4,,,percent,,v111451740,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,"Positive mental health, flourishing",,329400.0,,,,v111451743,2015,2016A000248,Number,units
2015,2015,Alberta,Females,35 to 49 years,"Positive mental health, flourishing",,,368900.0,,,v111451744,2015,2016A000248,Number,units
2015,2015,Alberta,Females,35 to 49 years,"Positive mental health, flourishing",82.5,,,percent,,v111451745,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,"Positive mental health, flourishing",77.8,,,percent,,v111451746,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,"Positive mental health, flourishing",87.1,,,percent,,v111451747,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,Suicidal thoughts (15 years and over),,53900.0,,,,v111451750,2015,2016A000248,Number,units
2015,2015,Alberta,Females,35 to 49 years,Suicidal thoughts (15 years and over),,,88700.0,,,v111451751,2015,2016A000248,Number,units
2015,2015,Alberta,Females,35 to 49 years,Suicidal thoughts (15 years and over),16.9,,,percent,,v111451752,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,Suicidal thoughts (15 years and over),12.7,,,percent,,v111451753,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,35 to 49 years,Suicidal thoughts (15 years and over),21.0,,,percent,,v111451754,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,Consultation with a health professional about emotional or mental health,,40300.0,,,,v111451715,2015,2016A000248,Number,units
2015,2015,Alberta,Males,35 to 49 years,Consultation with a health professional about emotional or mental health,,,75700.0,,,v111451716,2015,2016A000248,Number,units
2015,2015,Alberta,Males,35 to 49 years,Consultation with a health professional about emotional or mental health,12.8,,,percent,e,v111451717,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,Consultation with a health professional about emotional or mental health,8.9,,,percent,e,v111451718,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,Consultation with a health professional about emotional or mental health,16.7,,,percent,e,v111451719,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,"Positive mental health, flourishing",,353600.0,,,,v111451722,2015,2016A000248,Number,units
2015,2015,Alberta,Males,35 to 49 years,"Positive mental health, flourishing",,,395200.0,,,v111451723,2015,2016A000248,Number,units
2015,2015,Alberta,Males,35 to 49 years,"Positive mental health, flourishing",83.1,,,percent,,v111451724,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,"Positive mental health, flourishing",78.7,,,percent,,v111451725,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,"Positive mental health, flourishing",87.5,,,percent,,v111451726,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,Suicidal thoughts (15 years and over),,35200.0,,,,v111451729,2015,2016A000248,Number,units
2015,2015,Alberta,Males,35 to 49 years,Suicidal thoughts (15 years and over),,,66800.0,,,v111451730,2015,2016A000248,Number,units
2015,2015,Alberta,Males,35 to 49 years,Suicidal thoughts (15 years and over),11.3,,,percent,e,v111451731,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,Suicidal thoughts (15 years and over),7.8,,,percent,e,v111451732,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,35 to 49 years,Suicidal thoughts (15 years and over),14.8,,,percent,e,v111451733,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,,85900.0,,,,v111451757,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,,,122900.0,,,v111451758,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,13.4,,,percent,,v111451759,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,11.0,,,percent,,v111451760,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,Consultation with a health professional about emotional or mental health,15.8,,,percent,,v111451761,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,"Positive mental health, flourishing",,625000.0,,,,v111451764,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,50 to 64 years,"Positive mental health, flourishing",,,674800.0,,,v111451765,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,50 to 64 years,"Positive mental health, flourishing",83.4,,,percent,,v111451766,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,"Positive mental health, flourishing",80.3,,,percent,,v111451767,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,"Positive mental health, flourishing",86.4,,,percent,,v111451768,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),,80100.0,,,,v111451771,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),,,118900.0,,,v111451772,2015,2016A000248,Number,units
2015,2015,Alberta,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),12.9,,,percent,,v111451773,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),10.4,,,percent,,v111451774,2015,2016A000248,Percent,units
2015,2015,Alberta,Both sexes,50 to 64 years,Suicidal thoughts (15 years and over),15.5,,,percent,,v111451775,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,Consultation with a health professional about emotional or mental health,,51000.0,,,,v111451799,2015,2016A000248,Number,units
2015,2015,Alberta,Females,50 to 64 years,Consultation with a health professional about emotional or mental health,,,81600.0,,,v111451800,2015,2016A000248,Number,units
2015,2015,Alberta,Females,50 to 64 years,Consultation with a health professional about emotional or mental health,17.4,,,percent,,v111451801,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,Consultation with a health professional about emotional or mental health,13.4,,,percent,,v111451802,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,Consultation with a health professional about emotional or mental health,21.4,,,percent,,v111451803,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,"Positive mental health, flourishing",,293100.0,,,,v111451806,2015,2016A000248,Number,units
2015,2015,Alberta,Females,50 to 64 years,"Positive mental health, flourishing",,,329100.0,,,v111451807,2015,2016A000248,Number,units
2015,2015,Alberta,Females,50 to 64 years,"Positive mental health, flourishing",81.5,,,percent,,v111451808,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,"Positive mental health, flourishing",76.8,,,percent,,v111451809,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,"Positive mental health, flourishing",86.2,,,percent,,v111451810,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,Suicidal thoughts (15 years and over),,35400.0,,,,v111451813,2015,2016A000248,Number,units
2015,2015,Alberta,Females,50 to 64 years,Suicidal thoughts (15 years and over),,,56600.0,,,v111451814,2015,2016A000248,Number,units
2015,2015,Alberta,Females,50 to 64 years,Suicidal thoughts (15 years and over),12.3,,,percent,,v111451815,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,Suicidal thoughts (15 years and over),9.5,,,percent,,v111451816,2015,2016A000248,Percent,units
2015,2015,Alberta,Females,50 to 64 years,Suicidal thoughts (15 years and over),15.1,,,percent,,v111451817,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,Consultation with a health professional about emotional or mental health,,27100.0,,,,v111451778,2015,2016A000248,Number,units
2015,2015,Alberta,Males,50 to 64 years,Consultation with a health professional about emotional or mental health,,,49000.0,,,v111451779,2015,2016A000248,Number,units
2015,2015,Alberta,Males,50 to 64 years,Consultation with a health professional about emotional or mental health,9.6,,,percent,,v111451780,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,Consultation with a health professional about emotional or mental health,6.9,,,percent,,v111451781,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,Consultation with a health professional about emotional or mental health,12.3,,,percent,,v111451782,2015,2016A000248,Percent,units
2015,2015,Alberta,Males,50 to 64 years,"Positive mental health, flourishing",,321500.0,,,,v111451785,2015,2016A000248,Number,units
2015,2015,Alberta,Males,50 to 64 years,"Positive mental health, flourishing",,,356000.0,,,v111451786,2015,2016A000248,Number,units
2015,2015,Alberta,Males,50 to 64 years,"Positive mental health, flourishing",85.2,,,percent,,v111451787,2015,2016A000248,Percent,units
