ref_date_raw,start_year,geo,sex,age_group,indicator,characteristic,value,metric_type,quality_flag,scalar_applied,vector,ref_date,dguid,uom,scalar_factor
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",Number of persons,13051700.0,number,,False,v114653366,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, number of persons",12943800.0,number,,False,v114653367,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, number of persons",13149200.0,number,,False,v114653368,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent",Percent,90.0,percent,,False,v114653369,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","Low 95% confidence interval, percent",89.4,percent,,False,v114653370,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Ability to handle the day-to-day demands in life, good or excellent","High 95% confidence interval, percent",90.6,percent,,False,v114653371,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, work",Number of persons,3907000.0,number,,False,v114653373,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, work","Low 95% confidence interval, number of persons",3768400.0,number,,False,v114653374,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, work","High 95% confidence interval, number of persons",4031500.0,number,,False,v114653375,2016,,Number,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, work",Percent,27.1,percent,,False,v114653376,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, work","Low 95% confidence interval, percent",26.2,percent,,False,v114653377,2016,,Percent,units
2016,2016,Canada (excluding territories),Males,"Total, 12 years and over","Main source of stress in day-to-day life, work","High 95% confidence interval, percent",28.1,percent,,False,v114653378,2016,,Percent,units
